codProposicao,dataVotacao,nomeProposicao
340812,26/04/2016,PRC 8/2007
340812,27/04/2016,PRC 8/2007
340812,27/04/2016,PRC 8/2007
340812,27/04/2016,PRC 8/2007
340812,27/04/2016,PRC 8/2007
340812,27/04/2016,PRC 8/2007
340812,27/04/2016,PRC 8/2007
340812,27/04/2016,PRC 8/2007
340812,27/04/2016,PRC 8/2007
340812,28/04/2016,PRC 8/2007
340812,28/04/2016,PRC 8/2007
340812,28/04/2016,PRC 8/2007
340812,28/04/2016,PRC 8/2007
340812,28/04/2016,PRC 8/2007
340812,28/04/2016,PRC 8/2007
533082,28/04/2016,REQ 4124/2011 => PL 6697/2009
611966,17/02/2016,PEC 395/2014
945979,22/03/2016,PEC 1/2015
1063052,23/02/2016,PEC 11/2015
1063052,22/03/2016,PEC 11/2015
1712771,29/03/2016,REQ 2965/2015 => PLP 392/2014
1712931,28/04/2016,REQ 2974/2015 => PL 2648/2015
1738686,03/02/2016,MPV 692/2015 
1738686,03/02/2016,MPV 692/2015 
1738686,03/02/2016,MPV 692/2015 
1806248,01/03/2016,MPV 693/2015 
1806249,01/03/2016,MPV 694/2015 
1806249,02/03/2016,MPV 694/2015 
1806249,02/03/2016,MPV 694/2015 
1806553,03/02/2016,MPV 695/2015 
1806553,16/02/2016,MPV 695/2015 
1806553,16/02/2016,MPV 695/2015 
1806553,16/02/2016,MPV 695/2015 
1806553,16/02/2016,MPV 695/2015 
1806553,16/02/2016,MPV 695/2015 
1806554,17/02/2016,MPV 696/2015 
1806554,18/02/2016,MPV 696/2015 
2024766,15/03/2016,MPV 698/2015 
2024766,16/03/2016,MPV 698/2015 
2024766,21/03/2016,MPV 698/2015 
2058404,26/04/2016,MPV 701/2015 
2075925,28/03/2016,MPV 702/2015 
2076264,29/03/2016,MPV 710/2016 
2077084,25/02/2016,PDC 315/2016
2077084,09/03/2016,PDC 315/2016
2077084,09/03/2016,PDC 315/2016
2078488,10/03/2016,REQ 4057/2016 => PL 4073/2015
2078491,08/03/2016,REQ 4059/2016 => PL 173/2015
2080919,27/04/2016,PRC 134/2016
2080919,27/04/2016,PRC 134/2016
2080919,27/04/2016,PRC 134/2016
2080919,27/04/2016,PRC 134/2016
