nome,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,PEC do teto dos gastos,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer,Prosseguimento da 2ª denúncia contra Temer
avante,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim,não,não,não
dem,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não,não
mdb,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,sim,não,não
patriotas,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,não,não,não
pcdob,não,não,sim,sim,não,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,sim,sim
pdt,sim,liberado,sim,não,não,não,sim,não,não,não,não,não,sim,não,sim,sim,não,sim,liberado,não,não,sim,não,sim,sim
phs,sim,liberado,liberado,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,liberado,sim,sim
pmb,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,sim,sim,não votou
pmn,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,não votou,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim,não votou,não votou,não votou
podemos,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim,não,não votou,sim
pps,sim,não,sim,não,não,não,sim,sim,não,não,sim,não,sim,não,não,sim,liberado,sim,sim,liberado,sim,sim,sim,sim,sim
pr,liberado,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,não
prb,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim,sim,não,não
progressistas,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,sim,não,não
pros,sim,sim,liberado,liberado,sim,liberado,sim,sim,não,não,sim,sim,sim,sim,sim,liberado,sim,sim,sim,liberado,não,sim,liberado,não,não
prp,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim,não votou,não votou,não votou
prtb,não votou,não,liberado,não,sim,não,sim,não votou,sim,sim,não votou,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim,não votou,não votou,não votou
psb,liberado,sim,liberado,não,liberado,liberado,sim,não,não,não,sim,não,sim,não,sim,sim,sim,liberado,não,sim,não,sim,sim,sim,sim
psc,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,sim,não,não
psd,sim,liberado,sim,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,não,sim,sim,não,não
psdb,sim,não,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,liberado
psdc,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,não votou,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim,não votou,não votou,não votou
psl,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim,sim,não,não
psol,não,não,sim,não,obstrução,não,não,não,não,obstrução,não,não,sim,não,sim,não,não,não,não,não,não,sim,não,sim,sim
pt,liberado,não,sim,não,não,não,não,não,não,não,não,sim,sim,sim,sim,não,não,sim,não,sim,não,sim,não,sim,sim
ptb,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,sim,não,não
ptc,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,não votou,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim,não votou,não votou,não votou
pv,sim,liberado,sim,não,sim,não,não,sim,não,não,sim,liberado,sim,liberado,liberado,sim,sim,sim,não,sim,sim,sim,sim,liberado,liberado
rede,não,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não,sim,sim
solidaried,sim,sim,liberado,sim,sim,sim,sim,não,sim,sim,sim,não,sim,não,sim,sim,liberado,sim,sim,sim,não,sim,sim,sim,não
