nome,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer,Prosseguimento da 2ª denúncia contra Temer
dem,1,-1,-1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1
pcdob,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0
pdt,1,-1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,-1,0,0,1,0,1,0
pen,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,0,0,1
phs,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,0
pmb,-10,-10,-10,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,1,1,-10
pmdb,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,0,1
pmn,1,0,-1,0,1,0,1,-10,1,1,1,1,1,0,-1,-10,1,1,1,0,1,-10,-10,-10
pp,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,0,1
pps,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,-1,1,1,-1,1,1,1,1,0
pr,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
prb,1,0,-1,0,1,0,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,1,1,0,1
pros,1,1,-1,-1,1,-1,1,1,0,0,1,1,1,1,-1,1,1,1,-1,0,1,-1,0,1
prp,1,0,-1,0,1,0,1,-10,1,1,1,1,1,0,-1,1,1,1,1,0,1,-10,-10,-10
prtb,-10,0,-1,0,1,0,1,-10,1,1,1,1,1,0,-1,-10,1,1,1,0,1,-10,-10,-10
psb,-1,1,-1,0,-1,-1,1,0,0,0,0,1,0,1,1,1,-1,0,1,0,1,1,1,0
psc,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,0,1
psd,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,0,1
psdb,1,0,-1,-1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,-1
psdc,1,0,-1,0,1,0,1,-10,1,1,1,1,1,0,-1,-10,1,1,1,0,1,-10,-10,-10
psl,1,0,-1,0,1,0,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,1,1,0,1
psol,0,0,1,0,-3,0,0,0,0,-3,0,1,0,1,0,0,0,0,0,0,1,0,1,0
pt,-1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
ptb,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,0,1
ptc,1,0,-1,0,1,0,1,-10,1,1,1,1,1,0,-1,-10,1,1,1,0,1,-10,-10,-10
ptdob,1,0,-1,0,1,0,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,1,0,0,-10
ptn,1,0,-1,0,1,0,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,1,0,-10,-10
pv,1,-1,1,0,1,0,0,1,0,0,-1,1,-1,-1,1,1,1,0,1,1,1,1,-1,-1
rede,0,-10,-10,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,0,1,0
solidaried,1,1,-1,1,1,1,1,0,1,1,0,1,0,1,1,-1,1,1,1,0,1,1,1,1
avante,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1
podemos,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0
