nome,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer
dem,1,-1,-1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
pcdob,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1
pdt,1,-1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,-1,0,0,1,0,1
pen,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,0,0
phs,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1
pmb,-10,-10,-10,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,1,1
pmdb,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,0
pmn,1,0,-1,0,1,0,1,-10,1,1,1,1,1,0,-1,-10,1,1,1,0,1,-10,-10
pp,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,0
pps,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,-1,1,1,-1,1,1,1,1
pr,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
prb,1,0,-1,0,1,0,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,1,1,0
pros,1,1,-1,-1,1,-1,1,1,0,0,1,1,1,1,-1,1,1,1,-1,0,1,-1,0
prp,1,0,-1,0,1,0,1,-10,1,1,1,1,1,0,-1,1,1,1,1,0,1,-10,-10
prtb,-10,0,-1,0,1,0,1,-10,1,1,1,1,1,0,-1,-10,1,1,1,0,1,-10,-10
psb,-1,1,-1,0,-1,-1,1,0,0,0,0,1,0,1,1,1,-1,0,1,0,1,1,1
psc,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,0
psd,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,0
psdb,1,0,-1,-1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
psdc,1,0,-1,0,1,0,1,-10,1,1,1,1,1,0,-1,-10,1,1,1,0,1,-10,-10
psl,1,0,-1,0,1,0,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,1,1,0
psol,0,0,1,0,-3,0,0,0,0,-3,0,1,0,1,0,0,0,0,0,0,1,0,1
pt,-1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1
ptb,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,0
ptc,1,0,-1,0,1,0,1,-10,1,1,1,1,1,0,-1,-10,1,1,1,0,1,-10,-10
ptdob,1,0,-1,0,1,0,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,1,0,0
ptn,1,0,-1,0,1,0,1,1,1,1,1,1,1,0,-1,1,1,1,1,0,1,0,-10
pv,1,-1,1,0,1,0,0,1,0,0,-1,1,-1,-1,1,1,1,0,1,1,1,1,-1
rede,0,-10,-10,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,0,1
solidaried,1,1,-1,1,1,1,1,0,1,1,0,1,0,1,1,-1,1,1,1,0,1,1,1
